info face="Cubano-Regular" size=80 bold=0 italic=0 charset="" unicode=0 stretchH=100 smooth=1 aa=1 padding=0,0,0,0 spacing=2,2
common lineHeight=97 base=80 scaleW=512 scaleH=512 pages=1 packed=0
page id=0 file="CubanoInnerShadow.png"
chars count=67
char id=91 x=2 y=2 width=21 height=84 xoffset=0 yoffset=14 xadvance=22 page=0 chnl=0 letter="["
char id=93 x=25 y=2 width=21 height=84 xoffset=0 yoffset=14 xadvance=22 page=0 chnl=0 letter="]"
char id=123 x=48 y=2 width=20 height=80 xoffset=-1 yoffset=15 xadvance=21 page=0 chnl=0 letter="{"
char id=125 x=70 y=2 width=20 height=80 xoffset=0 yoffset=15 xadvance=21 page=0 chnl=0 letter="}"
char id=124 x=92 y=2 width=11 height=78 xoffset=1 yoffset=17 xadvance=14 page=0 chnl=0 letter="|"
char id=40 x=105 y=2 width=23 height=77 xoffset=-1 yoffset=16 xadvance=24 page=0 chnl=0 letter="("
char id=41 x=130 y=2 width=23 height=77 xoffset=0 yoffset=16 xadvance=24 page=0 chnl=0 letter=")"
char id=47 x=155 y=2 width=36 height=73 xoffset=5 yoffset=17 xadvance=48 page=0 chnl=0 letter="/"
char id=92 x=193 y=2 width=36 height=73 xoffset=5 yoffset=17 xadvance=48 page=0 chnl=0 letter="\"
char id=36 x=231 y=2 width=42 height=72 xoffset=1 yoffset=16 xadvance=46 page=0 chnl=0 letter="$"
char id=81 x=275 y=2 width=47 height=65 xoffset=1 yoffset=21 xadvance=47 page=0 chnl=0 letter="Q"
char id=38 x=324 y=2 width=49 height=62 xoffset=0 yoffset=21 xadvance=51 page=0 chnl=0 letter="&"
char id=83 x=375 y=2 width=46 height=62 xoffset=-1 yoffset=21 xadvance=46 page=0 chnl=0 letter="S"
char id=56 x=423 y=2 width=44 height=62 xoffset=1 yoffset=21 xadvance=48 page=0 chnl=0 letter="8"
char id=48 x=2 y=88 width=44 height=62 xoffset=1 yoffset=21 xadvance=48 page=0 chnl=0 letter="0"
